date,team,points,mp
4/20/2013,Swansea City,41,32
4/20/2013,Fulham,40,33
4/20/2013,West Ham,39,33
4/20/2013,Southampton,38,33
4/20/2013,Newcastle Utd,36,33
4/20/2013,Norwich City,35,33
4/20/2013,Sunderland,34,33
4/20/2013,Stoke City,34,33
4/20/2013,Aston Villa,34,33
4/20/2013,Wigan Athletic,31,32
4/20/2013,QPR,24,33
4/20/2013,Reading,24,33
4/21/2013,Manchester Utd,81,33
4/21/2013,Manchester City,68,32
4/21/2013,Arsenal,63,34
4/21/2013,Chelsea,61,32
4/21/2013,Tottenham,58,32
4/21/2013,Everton,56,34
4/21/2013,Liverpool,50,33
4/21/2013,West Brom,45,33
4/21/2013,Swansea City,42,33
4/21/2013,West Ham,42,34
4/21/2013,Fulham,40,34
4/21/2013,Southampton,39,34
4/21/2013,Norwich City,38,34
4/21/2013,Sunderland,37,34
4/21/2013,Stoke City,37,34
4/21/2013,Newcastle Utd,37,34
4/21/2013,Aston Villa,34,33
4/21/2013,Wigan Athletic,31,33
4/21/2013,QPR,24,34
4/21/2013,Reading,24,34
4/22/2013,Manchester Utd,81,33
4/22/2013,Manchester City,68,33
4/22/2013,Arsenal,63,34
4/22/2013,Chelsea,62,33
4/22/2013,Tottenham,61,33
4/22/2013,Everton,56,34
4/22/2013,Liverpool,51,34
4/22/2013,West Brom,45,33
4/22/2013,Swansea City,42,33
4/22/2013,West Ham,42,34
4/22/2013,Fulham,40,34
4/22/2013,Southampton,39,34
4/22/2013,Norwich City,38,34
4/22/2013,Sunderland,37,34
4/22/2013,Stoke City,37,34
4/22/2013,Newcastle Utd,37,34
4/22/2013,Aston Villa,34,33
4/22/2013,Wigan Athletic,31,33
4/22/2013,QPR,24,34
4/22/2013,Reading,24,34
4/27/2013,Manchester Utd,84,34
4/27/2013,Manchester City,68,33
4/27/2013,Arsenal,63,34
4/27/2013,Chelsea,62,33
4/27/2013,Tottenham,61,33
4/27/2013,Everton,56,34
4/27/2013,Liverpool,51,34
4/27/2013,West Brom,45,33
4/27/2013,Swansea City,42,33
4/27/2013,West Ham,42,34
4/27/2013,Fulham,40,34
4/27/2013,Southampton,39,34
4/27/2013,Norwich City,38,34
4/27/2013,Sunderland,37,34
4/27/2013,Stoke City,37,34
4/27/2013,Newcastle Utd,37,34
4/27/2013,Aston Villa,34,34
4/27/2013,Wigan Athletic,31,33
4/27/2013,QPR,24,34
4/27/2013,Reading,24,34
4/28/2013,Manchester Utd,84,34
4/28/2013,Manchester City,71,34
4/28/2013,Arsenal,63,34
4/28/2013,Chelsea,62,33
4/28/2013,Tottenham,62,34
4/28/2013,Everton,59,35
4/28/2013,Liverpool,54,35
4/28/2013,West Brom,48,34
4/28/2013,Swansea City,42,33
4/28/2013,West Ham,42,35
4/28/2013,Fulham,40,35
4/28/2013,Stoke City,40,35
4/28/2013,Southampton,39,35
4/28/2013,Norwich City,38,35
4/28/2013,Sunderland,37,34
4/28/2013,Newcastle Utd,37,35
4/28/2013,Aston Villa,34,34
4/28/2013,Wigan Athletic,32,34
4/28/2013,QPR,24,34
4/28/2013,Reading,24,34
4/29/2013,Manchester Utd,85,35
4/29/2013,Manchester City,71,34
