date,team,points,mp
4/20/2019,Fulham,20,34
4/20/2019,Huddersfield,14,34
4/21/2019,Manchester City,86,34
4/21/2019,Liverpool,85,34
4/21/2019,Tottenham,67,34
4/21/2019,Arsenal,66,33
4/21/2019,Chelsea,66,34
4/21/2019,Manchester Utd,64,33
4/21/2019,Watford,49,34
4/21/2019,Leicester City,48,35
4/21/2019,Wolves,48,34
4/21/2019,Everton,46,34
4/21/2019,West Ham,43,35
4/21/2019,Newcastle Utd,41,35
4/21/2019,Bournemouth,41,35
4/21/2019,Crystal Palace,39,34
4/21/2019,Burnley,39,34
4/21/2019,Southampton,36,34
4/21/2019,Brighton,34,34
4/21/2019,Cardiff City,31,34
4/21/2019,Fulham,23,35
4/21/2019,Huddersfield,14,35
4/22/2019,Liverpool,88,35
4/22/2019,Manchester City,86,34
4/22/2019,Tottenham,67,34
4/22/2019,Arsenal,66,34
4/22/2019,Chelsea,66,34
4/22/2019,Manchester Utd,64,34
4/22/2019,Everton,49,35
4/22/2019,Watford,49,34
4/22/2019,Leicester City,48,35
4/22/2019,Wolves,48,34
4/22/2019,West Ham,43,35
4/22/2019,Crystal Palace,42,35
4/22/2019,Newcastle Utd,41,35
4/22/2019,Bournemouth,41,35
4/22/2019,Burnley,39,34
4/22/2019,Southampton,36,34
4/22/2019,Brighton,34,34
4/22/2019,Cardiff City,31,35
4/22/2019,Fulham,23,35
4/22/2019,Huddersfield,14,35
4/23/2019,Liverpool,88,35
4/23/2019,Manchester City,86,34
4/23/2019,Tottenham,67,34
4/23/2019,Chelsea,67,35
4/23/2019,Arsenal,66,34
4/23/2019,Manchester Utd,64,34
4/23/2019,Everton,49,35
4/23/2019,Watford,49,34
4/23/2019,Leicester City,48,35
4/23/2019,Wolves,48,34
4/23/2019,West Ham,43,35
4/23/2019,Crystal Palace,42,35
4/23/2019,Newcastle Utd,41,35
4/23/2019,Bournemouth,41,35
4/23/2019,Burnley,40,35
4/23/2019,Southampton,36,34
4/23/2019,Brighton,34,34
4/23/2019,Cardiff City,31,35
4/23/2019,Fulham,23,35
4/23/2019,Huddersfield,14,35
4/24/2019,Liverpool,88,35
4/24/2019,Manchester City,86,34
4/24/2019,Tottenham,70,35
4/24/2019,Chelsea,67,35
4/24/2019,Arsenal,66,34
4/24/2019,Manchester Utd,64,34
4/24/2019,Watford,50,35
4/24/2019,Everton,49,35
4/24/2019,Leicester City,48,35
4/24/2019,Wolves,48,34
4/24/2019,West Ham,43,35
4/24/2019,Crystal Palace,42,35
4/24/2019,Newcastle Utd,41,35
4/24/2019,Bournemouth,41,35
4/24/2019,Burnley,40,35
4/24/2019,Southampton,37,35
4/24/2019,Brighton,34,35
4/24/2019,Cardiff City,31,35
4/24/2019,Fulham,23,35
4/24/2019,Huddersfield,14,35
4/26/2019,Manchester City,89,35
4/26/2019,Liverpool,88,35
4/26/2019,Tottenham,70,35
4/26/2019,Chelsea,67,35
4/26/2019,Arsenal,66,35
4/26/2019,Manchester Utd,64,35
4/26/2019,Wolves,51,35
4/26/2019,Watford,50,35
4/26/2019,Everton,49,35
4/26/2019,Leicester City,48,35
4/26/2019,West Ham,43,35
4/26/2019,Crystal Palace,42,35
4/26/2019,Newcastle Utd,41,35
4/26/2019,Bournemouth,41,35
4/26/2019,Burnley,40,35
4/26/2019,Southampton,37,35
4/26/2019,Brighton,34,35
4/26/2019,Cardiff City,31,35
4/26/2019,Fulham,23,35
4/26/2019,Huddersfield,14,35
4/27/2019,Liverpool,91,36
4/27/2019,Manchester City,89,35
4/27/2019,Tottenham,70,35
4/27/2019,Chelsea,67,35
4/27/2019,Arsenal,66,35
4/27/2019,Manchester Utd,64,35
4/27/2019,Wolves,51,35
4/27/2019,Watford,50,35
4/27/2019,Everton,49,35
4/27/2019,Leicester City,48,35
4/27/2019,West Ham,43,35
4/27/2019,Crystal Palace,42,35
4/27/2019,Newcastle Utd,41,35
4/27/2019,Bournemouth,41,35
4/27/2019,Burnley,40,35
4/27/2019,Southampton,37,35
4/27/2019,Brighton,34,35
4/27/2019,Cardiff City,31,35
4/27/2019,Fulham,23,35
4/27/2019,Huddersfield,14,36
4/28/2019,Liverpool,91,36
4/28/2019,Manchester City,89,35
4/28/2019,Tottenham,70,36
4/28/2019,Chelsea,67,35
4/28/2019,Arsenal,66,35
4/28/2019,Manchester Utd,64,35
4/28/2019,Wolves,54,36
4/28/2019,Everton,50,36
4/28/2019,Watford,50,36
4/28/2019,Leicester City,48,35
4/28/2019,West Ham,46,36
4/28/2019,Crystal Palace,43,36
4/28/2019,Newcastle Utd,42,36
4/28/2019,Bournemouth,42,36
4/28/2019,Burnley,40,35
4/28/2019,Southampton,38,36
4/28/2019,Brighton,35,36
4/28/2019,Cardiff City,31,36
4/28/2019,Fulham,26,36
4/28/2019,Huddersfield,14,36
5/3/2019,Manchester City,92,36
5/3/2019,Liverpool,91,36
5/3/2019,Tottenham,70,36
5/3/2019,Chelsea,68,36
5/3/2019,Arsenal,66,36
5/3/2019,Manchester Utd,65,36
5/3/2019,Wolves,54,36
5/3/2019,Leicester City,51,36
5/3/2019,Everton,50,36
5/3/2019,Watford,50,36
5/3/2019,West Ham,46,36
5/3/2019,Crystal Palace,43,36
5/3/2019,Newcastle Utd,42,36
5/3/2019,Bournemouth,42,36
5/3/2019,Burnley,40,36
5/3/2019,Southampton,38,36
5/3/2019,Brighton,35,36
5/3/2019,Cardiff City,31,36
5/3/2019,Fulham,26,36
5/3/2019,Huddersfield,14,36
5/4/2019,Manchester City,92,36
5/4/2019,Liverpool,91,36
5/4/2019,Tottenham,70,36
5/4/2019,Chelsea,68,36
5/4/2019,Arsenal,66,36
5/4/2019,Manchester Utd,65,36
5/4/2019,Wolves,54,36
5/4/2019,Everton,53,37
5/4/2019,Leicester City,51,36
5/4/2019,Watford,50,36
5/4/2019,West Ham,46,36
5/4/2019,Crystal Palace,43,36
5/4/2019,Newcastle Utd,42,36
5/4/2019,Bournemouth,42,36
5/4/2019,Burnley,40,37
5/4/2019,Southampton,38,36
5/4/2019,Brighton,35,36
5/4/2019,Cardiff City,31,36
5/4/2019,Fulham,26,36
5/4/2019,Huddersfield,14,36
5/5/2019,Liverpool,94,37
5/5/2019,Manchester City,92,36
5/5/2019,Tottenham,70,37
5/5/2019,Chelsea,68,36
5/5/2019,Arsenal,66,36
5/5/2019,Manchester Utd,65,36
5/5/2019,Wolves,57,37
5/5/2019,Everton,53,37
5/5/2019,Leicester City,51,36
5/5/2019,Watford,50,36
5/5/2019,West Ham,49,37
5/5/2019,Crystal Palace,46,37
5/5/2019,Bournemouth,45,37
5/5/2019,Newcastle Utd,42,37
5/5/2019,Burnley,40,37
5/5/2019,Southampton,38,37
5/5/2019,Brighton,35,36
5/5/2019,Cardiff City,31,37
5/5/2019,Fulham,26,37
5/5/2019,Huddersfield,14,36
5/6/2019,Liverpool,94,37
5/6/2019,Manchester City,92,36
5/6/2019,Chelsea,71,37
5/6/2019,Tottenham,70,37
5/6/2019,Arsenal,67,37
5/6/2019,Manchester Utd,66,37
5/6/2019,Wolves,57,37
5/6/2019,Everton,53,37
5/6/2019,Leicester City,51,36
5/6/2019,Watford,50,37
5/6/2019,West Ham,49,37
5/6/2019,Crystal Palace,46,37
5/6/2019,Bournemouth,45,37
5/6/2019,Newcastle Utd,42,37
5/6/2019,Burnley,40,37
5/6/2019,Southampton,38,37
5/6/2019,Brighton,36,37
5/6/2019,Cardiff City,31,37
5/6/2019,Fulham,26,37
5/6/2019,Huddersfield,15,37
5/12/2019,Manchester City,95,37
5/12/2019,Liverpool,94,37
5/12/2019,Chelsea,71,37
5/12/2019,Tottenham,70,37
5/12/2019,Arsenal,67,37
5/12/2019,Manchester Utd,66,37
5/12/2019,Wolves,57,37
5/12/2019,Everton,53,37
5/12/2019,Leicester City,51,37
5/12/2019,Watford,50,37
5/12/2019,West Ham,49,37
5/12/2019,Crystal Palace,46,37
5/12/2019,Bournemouth,45,37
5/12/2019,Newcastle Utd,42,37
5/12/2019,Burnley,40,37
5/12/2019,Southampton,38,37
5/12/2019,Brighton,36,37
5/12/2019,Cardiff City,31,37
5/12/2019,Fulham,26,37
5/12/2019,Huddersfield,15,37
3/1/2020,Liverpool,79,28
3/1/2020,Manchester City,57,27
3/1/2020,Leicester City,50,28
3/1/2020,Chelsea,45,28
3/1/2020,Manchester Utd,41,27
3/1/2020,Tottenham,40,27
3/1/2020,Sheffield Utd,40,27
3/1/2020,Wolves,39,27
3/1/2020,Burnley,38,28
3/1/2020,Arsenal,37,27
3/1/2020,Everton,36,27
3/1/2020,Crystal Palace,36,28
3/1/2020,Southampton,34,28
3/1/2020,Newcastle Utd,32,28
3/1/2020,Brighton,28,28
3/1/2020,West Ham,27,28
3/1/2020,Watford,27,28
3/1/2020,Bournemouth,27,28
3/1/2020,Aston Villa,25,27
3/1/2020,Norwich City,21,28
3/7/2020,Liverpool,79,28
3/7/2020,Manchester City,57,27
3/7/2020,Leicester City,50,28
3/7/2020,Chelsea,45,28
3/7/2020,Manchester Utd,42,28
3/7/2020,Wolves,42,28
3/7/2020,Tottenham,40,28
3/7/2020,Sheffield Utd,40,27
3/7/2020,Burnley,38,28
3/7/2020,Arsenal,37,27
3/7/2020,Everton,37,28
3/7/2020,Crystal Palace,36,28
3/7/2020,Southampton,34,28
3/7/2020,Newcastle Utd,32,28
3/7/2020,Brighton,28,28
3/7/2020,West Ham,27,28
3/7/2020,Watford,27,28
3/7/2020,Bournemouth,27,28
3/7/2020,Aston Villa,25,27
3/7/2020,Norwich City,21,28
3/8/2020,Liverpool,82,29
3/8/2020,Manchester City,57,27
3/8/2020,Leicester City,50,28
3/8/2020,Chelsea,45,28
3/8/2020,Wolves,43,29
3/8/2020,Sheffield Utd,43,28
3/8/2020,Manchester Utd,42,28
3/8/2020,Tottenham,41,29
3/8/2020,Arsenal,40,28
3/8/2020,Burnley,39,29
3/8/2020,Crystal Palace,39,29
3/8/2020,Everton,37,28
3/8/2020,Newcastle Utd,35,29
3/8/2020,Southampton,34,29
3/8/2020,Brighton,29,29
3/8/2020,West Ham,27,29
3/8/2020,Watford,27,29
3/8/2020,Bournemouth,27,29
3/8/2020,Aston Villa,25,27
3/8/2020,Norwich City,21,29
3/9/2020,Liverpool,82,29
3/9/2020,Manchester City,57,28
3/9/2020,Leicester City,50,28
3/9/2020,Chelsea,48,29
3/9/2020,Manchester Utd,45,29
3/9/2020,Wolves,43,29
3/9/2020,Sheffield Utd,43,28
3/9/2020,Tottenham,41,29
3/9/2020,Arsenal,40,28
3/9/2020,Burnley,39,29
3/9/2020,Crystal Palace,39,29
3/9/2020,Everton,37,29
3/9/2020,Newcastle Utd,35,29
3/9/2020,Southampton,34,29
3/9/2020,Brighton,29,29
3/9/2020,West Ham,27,29
3/9/2020,Watford,27,29
3/9/2020,Bournemouth,27,29
3/9/2020,Aston Villa,25,27
3/9/2020,Norwich City,21,29
6/17/2020,Liverpool,82,29
6/17/2020,Manchester City,57,28
6/17/2020,Leicester City,53,29
6/17/2020,Chelsea,48,29
6/17/2020,Manchester Utd,45,29
6/17/2020,Wolves,43,29
6/17/2020,Sheffield Utd,43,28
6/17/2020,Tottenham,41,29
6/17/2020,Arsenal,40,28
6/17/2020,Burnley,39,29
6/17/2020,Crystal Palace,39,29
6/17/2020,Everton,37,29
6/17/2020,Newcastle Utd,35,29
6/17/2020,Southampton,34,29
6/17/2020,Brighton,29,29
6/17/2020,West Ham,27,29
6/17/2020,Watford,27,29
6/17/2020,Bournemouth,27,29
6/17/2020,Aston Villa,25,28
6/17/2020,Norwich City,21,29
6/19/2020,Liverpool,82,29
6/19/2020,Manchester City,60,29
6/19/2020,Leicester City,53,29
6/19/2020,Chelsea,48,29
6/19/2020,Manchester Utd,45,29
6/19/2020,Sheffield Utd,44,29
6/19/2020,Wolves,43,29
6/19/2020,Tottenham,41,29
6/19/2020,Arsenal,40,29
6/19/2020,Burnley,39,29
6/19/2020,Crystal Palace,39,29
6/19/2020,Everton,37,29
6/19/2020,Newcastle Utd,35,29
6/19/2020,Southampton,34,29
6/19/2020,Brighton,29,29
6/19/2020,West Ham,27,29
6/19/2020,Watford,27,29
6/19/2020,Bournemouth,27,29
6/19/2020,Aston Villa,26,29
6/19/2020,Norwich City,21,29
6/20/2020,Liverpool,82,29
6/20/2020,Manchester City,60,29
6/20/2020,Leicester City,53,29
6/20/2020,Chelsea,48,29
6/20/2020,Manchester Utd,46,30
6/20/2020,Sheffield Utd,44,29
6/20/2020,Wolves,43,29
6/20/2020,Tottenham,42,30
6/20/2020,Arsenal,40,29
6/20/2020,Burnley,39,29
6/20/2020,Crystal Palace,39,29
6/20/2020,Everton,37,29
6/20/2020,Southampton,37,30
6/20/2020,Newcastle Utd,35,29
6/20/2020,Brighton,29,29
6/20/2020,West Ham,27,29
6/20/2020,Watford,27,29
6/20/2020,Bournemouth,27,29
6/20/2020,Aston Villa,26,29
6/20/2020,Norwich City,21,30
6/21/2020,Liverpool,82,29
6/21/2020,Manchester City,60,29
6/21/2020,Leicester City,54,30
6/21/2020,Chelsea,48,29
6/21/2020,Manchester Utd,46,30
6/21/2020,Wolves,46,30
6/21/2020,Sheffield Utd,44,29
6/21/2020,Tottenham,42,30
6/21/2020,Crystal Palace,42,30
6/21/2020,Arsenal,40,30
6/21/2020,Burnley,39,29
6/21/2020,Everton,37,29
6/21/2020,Southampton,37,30
6/21/2020,Newcastle Utd,35,29
6/21/2020,Brighton,32,30
6/21/2020,Watford,28,30
6/21/2020,West Ham,27,30
6/21/2020,Bournemouth,27,30
6/21/2020,Aston Villa,26,29
6/21/2020,Norwich City,21,30
6/22/2020,Liverpool,83,30
6/22/2020,Manchester City,60,29
6/22/2020,Leicester City,54,30
6/22/2020,Chelsea,51,30
6/22/2020,Manchester Utd,46,30
6/22/2020,Wolves,46,30
6/22/2020,Sheffield Utd,44,30
6/22/2020,Tottenham,42,30
6/22/2020,Crystal Palace,42,30
6/22/2020,Arsenal,40,30
6/22/2020,Burnley,39,29
6/22/2020,Everton,38,30
6/22/2020,Newcastle Utd,38,30
6/22/2020,Southampton,37,30
6/22/2020,Brighton,32,30
6/22/2020,Watford,28,30
6/22/2020,West Ham,27,30
6/22/2020,Bournemouth,27,30
6/22/2020,Aston Villa,26,30
6/22/2020,Norwich City,21,30
6/23/2020,Liverpool,83,30
6/23/2020,Manchester City,63,30
6/23/2020,Leicester City,54,30
6/23/2020,Chelsea,51,30
6/23/2020,Manchester Utd,46,30
6/23/2020,Wolves,46,30
6/23/2020,Sheffield Utd,44,30
6/23/2020,Tottenham,42,30
6/23/2020,Crystal Palace,42,30
6/23/2020,Arsenal,40,30
6/23/2020,Burnley,39,30
6/23/2020,Everton,38,30
6/23/2020,Newcastle Utd,38,30
6/23/2020,Southampton,37,30
6/23/2020,Brighton,32,30
6/23/2020,Watford,28,30
6/23/2020,West Ham,27,30
6/23/2020,Bournemouth,27,30
6/23/2020,Aston Villa,26,30
6/23/2020,Norwich City,21,30
6/24/2020,Liverpool,83,30
6/24/2020,Manchester City,63,30
6/24/2020,Leicester City,55,31
6/24/2020,Chelsea,51,30
6/24/2020,Manchester Utd,46,30
6/24/2020,Wolves,46,30
6/24/2020,Tottenham,45,31
6/24/2020,Sheffield Utd,44,30
6/24/2020,Crystal Palace,42,30
6/24/2020,Arsenal,40,30
6/24/2020,Burnley,39,30
6/24/2020,Everton,38,30
6/24/2020,Newcastle Utd,38,30
6/24/2020,Southampton,37,30
6/24/2020,Brighton,33,31
6/24/2020,Watford,28,30
6/24/2020,West Ham,27,31
6/24/2020,Bournemouth,27,30
6/24/2020,Aston Villa,26,30
6/24/2020,Norwich City,21,30
6/25/2020,Liverpool,86,31
6/25/2020,Manchester City,63,30
6/25/2020,Leicester City,55,31
6/25/2020,Chelsea,51,30
6/25/2020,Manchester Utd,49,31
6/25/2020,Wolves,49,31
6/25/2020,Tottenham,45,31
6/25/2020,Sheffield Utd,44,31
6/25/2020,Crystal Palace,42,31
6/25/2020,Everton,41,31
6/25/2020,Arsenal,40,30
6/25/2020,Burnley,39,30
6/25/2020,Newcastle Utd,39,31
6/25/2020,Southampton,37,30
6/25/2020,Brighton,33,31
6/25/2020,Watford,28,30
6/25/2020,West Ham,27,31
6/25/2020,Bournemouth,27,31
6/25/2020,Aston Villa,27,31
6/25/2020,Norwich City,21,31
6/27/2020,Liverpool,86,31
6/27/2020,Manchester City,63,31
6/27/2020,Leicester City,55,31
6/27/2020,Chelsea,54,31
6/27/2020,Manchester Utd,49,31
6/27/2020,Wolves,49,31
6/27/2020,Tottenham,45,31
6/27/2020,Sheffield Utd,44,31
6/27/2020,Arsenal,43,31
6/27/2020,Crystal Palace,42,31
6/27/2020,Burnley,42,31
6/27/2020,Everton,41,31
6/27/2020,Newcastle Utd,39,31
6/27/2020,Southampton,37,31
6/27/2020,Brighton,33,31
6/27/2020,Watford,28,31
6/27/2020,West Ham,27,31
6/27/2020,Bournemouth,27,31
6/27/2020,Aston Villa,27,31
6/27/2020,Norwich City,21,31
6/28/2020,Liverpool,86,31
6/28/2020,Manchester City,63,31
6/28/2020,Leicester City,55,31
6/28/2020,Chelsea,54,31
6/28/2020,Wolves,52,32
6/28/2020,Manchester Utd,49,31
6/28/2020,Tottenham,45,31
6/28/2020,Sheffield Utd,44,31
6/28/2020,Arsenal,43,31
6/28/2020,Crystal Palace,42,31
6/28/2020,Burnley,42,31
6/28/2020,Everton,41,31
6/28/2020,Newcastle Utd,39,31
6/28/2020,Southampton,37,31
6/28/2020,Brighton,33,31
6/28/2020,Watford,28,31
6/28/2020,West Ham,27,31
6/28/2020,Bournemouth,27,31
6/28/2020,Aston Villa,27,32
6/28/2020,Norwich City,21,31
6/29/2020,Liverpool,86,31
6/29/2020,Manchester City,63,31
6/29/2020,Leicester City,55,31
6/29/2020,Chelsea,54,31
6/29/2020,Wolves,52,32
6/29/2020,Manchester Utd,49,31
6/29/2020,Tottenham,45,31
6/29/2020,Sheffield Utd,44,31
6/29/2020,Arsenal,43,31
6/29/2020,Crystal Palace,42,31
6/29/2020,Burnley,42,31
6/29/2020,Everton,41,31
6/29/2020,Southampton,40,32
6/29/2020,Newcastle Utd,39,31
6/29/2020,Brighton,33,31
6/29/2020,Watford,28,32
6/29/2020,West Ham,27,31
6/29/2020,Bournemouth,27,31
6/29/2020,Aston Villa,27,32
6/29/2020,Norwich City,21,31
6/30/2020,Liverpool,86,31
6/30/2020,Manchester City,63,31
6/30/2020,Leicester City,55,31
6/30/2020,Chelsea,54,31
6/30/2020,Wolves,52,32
6/30/2020,Manchester Utd,49,31
6/30/2020,Tottenham,45,31
6/30/2020,Burnley,45,32
6/30/2020,Sheffield Utd,44,31
6/30/2020,Arsenal,43,31
6/30/2020,Crystal Palace,42,32
6/30/2020,Everton,41,31
6/30/2020,Southampton,40,32
6/30/2020,Newcastle Utd,39,31
6/30/2020,Brighton,33,31
6/30/2020,Watford,28,32
6/30/2020,West Ham,27,31
6/30/2020,Bournemouth,27,31
6/30/2020,Aston Villa,27,32
6/30/2020,Norwich City,21,31
7/1/2020,Liverpool,86,31
7/1/2020,Manchester City,63,31
7/1/2020,Leicester City,55,31
7/1/2020,Chelsea,54,31
7/1/2020,Manchester Utd,52,32
7/1/2020,Wolves,52,32
7/1/2020,Tottenham,45,31
7/1/2020,Burnley,45,32
7/1/2020,Sheffield Utd,44,31
7/1/2020,Arsenal,43,31
7/1/2020,Crystal Palace,42,32
7/1/2020,Everton,41,31
7/1/2020,Southampton,40,32
7/1/2020,Newcastle Utd,39,31
7/1/2020,Brighton,33,32
7/1/2020,Watford,28,32
7/1/2020,West Ham,27,31
7/1/2020,Bournemouth,27,31
7/1/2020,Aston Villa,27,32
7/1/2020,Norwich City,21,31
7/2/2020,Liverpool,86,31
7/2/2020,Manchester City,63,31
7/2/2020,Leicester City,55,32
7/2/2020,Chelsea,54,32
7/2/2020,Manchester Utd,52,32
7/2/2020,Wolves,52,32
7/2/2020,Arsenal,46,32
7/2/2020,Tottenham,45,31
7/2/2020,Burnley,45,32
7/2/2020,Sheffield Utd,44,31
7/2/2020,Everton,44,32
7/2/2020,Crystal Palace,42,32
7/2/2020,Newcastle Utd,42,32
7/2/2020,Southampton,40,32
7/2/2020,Brighton,33,32
7/2/2020,West Ham,30,32
7/2/2020,Watford,28,32
7/2/2020,Aston Villa,27,32
7/2/2020,Bournemouth,27,32
7/2/2020,Norwich City,21,32
7/4/2020,Liverpool,86,32
7/4/2020,Manchester City,66,32
7/4/2020,Leicester City,55,32
7/4/2020,Chelsea,54,32
7/4/2020,Manchester Utd,52,32
7/4/2020,Wolves,52,32
7/4/2020,Sheffield Utd,47,32
7/4/2020,Arsenal,46,32
7/4/2020,Tottenham,45,32
7/4/2020,Burnley,45,32
7/4/2020,Everton,44,32
7/4/2020,Crystal Palace,42,32
7/4/2020,Newcastle Utd,42,32
7/4/2020,Southampton,40,32
7/4/2020,Brighton,33,32
7/4/2020,West Ham,30,32
7/4/2020,Watford,28,32
7/4/2020,Aston Villa,27,32
7/4/2020,Bournemouth,27,32
7/4/2020,Norwich City,21,32
7/5/2020,Liverpool,86,32
7/5/2020,Manchester City,66,32
7/5/2020,Leicester City,58,33
7/5/2020,Chelsea,57,33
7/5/2020,Manchester Utd,55,33
7/5/2020,Wolves,52,33
7/5/2020,Arsenal,49,33
7/5/2020,Sheffield Utd,47,32
7/5/2020,Tottenham,45,32
7/5/2020,Burnley,45,32
7/5/2020,Everton,44,32
7/5/2020,Newcastle Utd,42,32
7/5/2020,Crystal Palace,42,33
7/5/2020,Southampton,40,32
7/5/2020,Brighton,36,33
7/5/2020,West Ham,30,32
7/5/2020,Watford,28,33
7/5/2020,Aston Villa,27,32
7/5/2020,Bournemouth,27,33
7/5/2020,Norwich City,21,33
7/6/2020,Liverpool,89,33
7/6/2020,Manchester City,66,33
7/6/2020,Leicester City,58,33
7/6/2020,Chelsea,57,33
7/6/2020,Manchester Utd,55,33
7/6/2020,Wolves,52,33
7/6/2020,Arsenal,49,33
7/6/2020,Sheffield Utd,48,33
7/6/2020,Burnley,46,33
7/6/2020,Tottenham,45,32
7/6/2020,Everton,44,32
7/6/2020,Newcastle Utd,43,33
7/6/2020,Southampton,43,33
7/6/2020,Crystal Palace,42,33
7/6/2020,Brighton,36,33
7/6/2020,West Ham,31,33
7/6/2020,Watford,28,33
7/6/2020,Aston Villa,27,33
7/6/2020,Bournemouth,27,33
7/6/2020,Norwich City,21,33
7/7/2020,Liverpool,89,33
7/7/2020,Manchester City,66,33
7/7/2020,Leicester City,58,33
7/7/2020,Chelsea,57,33
7/7/2020,Manchester Utd,55,33
7/7/2020,Wolves,52,33
7/7/2020,Arsenal,49,33
7/7/2020,Tottenham,48,33
7/7/2020,Sheffield Utd,48,33
7/7/2020,Burnley,46,33
7/7/2020,Everton,44,33
7/7/2020,Newcastle Utd,43,33
7/7/2020,Southampton,43,33
7/7/2020,Crystal Palace,42,33
7/7/2020,Brighton,36,33
7/7/2020,West Ham,31,33
7/7/2020,Watford,28,33
7/7/2020,Aston Villa,27,33
7/7/2020,Bournemouth,27,33
7/7/2020,Norwich City,21,33
7/8/2020,Liverpool,89,33
7/8/2020,Manchester City,66,33
7/8/2020,Chelsea,60,34
7/8/2020,Leicester City,59,34
7/8/2020,Manchester Utd,55,33
7/8/2020,Wolves,52,33
7/8/2020,Arsenal,50,34
7/8/2020,Tottenham,48,33
7/8/2020,Sheffield Utd,48,33
7/8/2020,Burnley,46,33
7/8/2020,Everton,44,33
7/8/2020,Newcastle Utd,43,33
7/8/2020,Southampton,43,33
7/8/2020,Crystal Palace,42,34
7/8/2020,Brighton,36,33
7/8/2020,West Ham,31,33
7/8/2020,Watford,31,34
7/8/2020,Aston Villa,27,33
7/8/2020,Bournemouth,27,33
7/8/2020,Norwich City,21,34
7/9/2020,Liverpool,92,34
7/9/2020,Manchester City,69,34
7/9/2020,Chelsea,60,34
7/9/2020,Leicester City,59,34
7/9/2020,Manchester Utd,55,33
7/9/2020,Wolves,52,34
7/9/2020,Sheffield Utd,51,34
7/9/2020,Arsenal,50,34
7/9/2020,Burnley,49,34
7/9/2020,Tottenham,48,33
7/9/2020,Everton,44,33
7/9/2020,Southampton,43,33
7/9/2020,Newcastle Utd,43,34
7/9/2020,Crystal Palace,42,34
7/9/2020,Brighton,36,34
7/9/2020,West Ham,31,34
7/9/2020,Watford,31,34
7/9/2020,Aston Villa,27,33
7/9/2020,Bournemouth,27,33
7/9/2020,Norwich City,21,34
7/11/2020,Liverpool,92,34
7/11/2020,Manchester City,69,34
7/11/2020,Chelsea,60,34
7/11/2020,Leicester City,59,34
7/11/2020,Manchester Utd,58,34
7/11/2020,Wolves,52,34
7/11/2020,Sheffield Utd,51,34
7/11/2020,Arsenal,50,34
7/11/2020,Tottenham,49,34
7/11/2020,Burnley,49,34
7/11/2020,Everton,45,34
7/11/2020,Southampton,44,34
7/11/2020,Newcastle Utd,43,34
7/11/2020,Crystal Palace,42,34
7/11/2020,Brighton,36,34
7/11/2020,West Ham,31,34
7/11/2020,Watford,31,34
7/11/2020,Bournemouth,28,34
7/11/2020,Aston Villa,27,34
7/11/2020,Norwich City,21,34
7/12/2020,Liverpool,93,35
7/12/2020,Manchester City,72,35
7/12/2020,Chelsea,60,35
7/12/2020,Leicester City,59,34
7/12/2020,Manchester Utd,58,34
7/12/2020,Sheffield Utd,54,35
7/12/2020,Wolves,52,34
7/12/2020,Arsenal,50,34
7/12/2020,Burnley,50,35
7/12/2020,Tottenham,49,34
7/12/2020,Everton,45,34
7/12/2020,Southampton,44,34
7/12/2020,Newcastle Utd,43,35
7/12/2020,Crystal Palace,42,34
7/12/2020,Brighton,36,35
7/12/2020,West Ham,34,35
7/12/2020,Watford,34,35
7/12/2020,Bournemouth,28,34
7/12/2020,Aston Villa,27,34
7/12/2020,Norwich City,21,35
7/13/2020,Liverpool,93,35
7/13/2020,Manchester City,72,35
7/13/2020,Chelsea,60,35
7/13/2020,Leicester City,59,35
7/13/2020,Manchester Utd,58,34
7/13/2020,Wolves,55,35
7/13/2020,Sheffield Utd,54,35
7/13/2020,Tottenham,52,35
7/13/2020,Arsenal,50,35
7/13/2020,Burnley,50,35
7/13/2020,Everton,45,35
7/13/2020,Southampton,44,34
7/13/2020,Newcastle Utd,43,35
7/13/2020,Crystal Palace,42,35
7/13/2020,Brighton,36,35
7/13/2020,West Ham,34,35
7/13/2020,Watford,34,35
7/13/2020,Bournemouth,31,35
7/13/2020,Aston Villa,30,35
7/13/2020,Norwich City,21,35
7/14/2020,Liverpool,93,35
7/14/2020,Manchester City,72,35
7/14/2020,Chelsea,60,35
7/14/2020,Leicester City,59,35
7/14/2020,Manchester Utd,59,35
7/14/2020,Wolves,55,35
7/14/2020,Sheffield Utd,54,35
7/14/2020,Tottenham,52,35
7/14/2020,Arsenal,50,35
7/14/2020,Burnley,50,35
7/14/2020,Everton,45,35
7/14/2020,Southampton,45,35
7/14/2020,Newcastle Utd,43,35
7/14/2020,Crystal Palace,42,35
7/14/2020,Brighton,36,35
7/14/2020,West Ham,34,35
7/14/2020,Watford,34,35
7/14/2020,Bournemouth,31,35
7/14/2020,Aston Villa,30,35
7/14/2020,Norwich City,21,35
7/15/2020,Liverpool,93,35
7/15/2020,Manchester City,72,35
7/15/2020,Chelsea,63,36
7/15/2020,Leicester City,59,35
7/15/2020,Manchester Utd,59,35
7/15/2020,Wolves,55,35
7/15/2020,Sheffield Utd,54,35
7/15/2020,Tottenham,52,35
7/15/2020,Arsenal,50,35
7/15/2020,Burnley,50,35
7/15/2020,Everton,45,35
7/15/2020,Southampton,45,35
7/15/2020,Newcastle Utd,43,35
7/15/2020,Crystal Palace,42,35
7/15/2020,Brighton,36,35
